gio_hoc_moi_tuan,diem_dau_vao,diem_trung_binh_truoc,tham_gia_ngoai_khoa,gio_giai_tri,lam_them,khoang_cach_den_truong,gpa
29,6.99,6.29,1,23,0,30,5.16
23,6.96,6.67,1,20,0,11,5.0
31,5.35,5.88,0,28,0,8,5.0
40,7.1,7.15,1,29,1,3,5.63
22,8.38,8.67,0,25,0,5,5.15
22,5.97,5.88,1,15,1,1,5.0
40,8.76,8.58,1,11,0,50,6.3
32,8.09,6.5,1,15,0,14,5.31
20,6.62,6.0,1,35,0,9,5.0
30,7.33,7.96,0,22,1,8,5.0
20,9.42,8.69,1,37,1,7,5.77
20,8.38,8.31,1,19,0,2,5.3
27,7.51,5.77,1,17,0,2,5.0
5,7.21,6.58,1,19,1,7,5.0
7,7.59,8.04,0,19,1,1,5.07
19,6.89,7.01,1,13,0,1,5.41
14,5.0,5.27,0,10,1,8,5.0
28,9.95,8.37,0,24,0,25,6.31
15,7.69,6.46,1,28,0,24,5.0
10,7.98,9.18,1,39,0,1,5.0
39,7.43,8.75,0,16,0,1,5.79
22,6.62,7.52,0,17,1,8,5.0
25,7.28,8.51,1,13,0,18,5.0
10,5.58,6.64,1,29,0,30,5.0
19,10.0,8.7,1,26,1,19,5.9
26,6.02,8.26,1,12,0,11,5.57
13,6.26,7.04,1,12,0,2,5.0
28,6.97,6.72,1,27,1,1,5.0
18,9.05,6.21,1,23,0,1,5.0
22,7.52,7.07,1,26,0,9,5.52
18,6.02,7.57,1,12,0,1,5.61
43,9.01,8.59,0,4,0,13,6.32
24,8.38,7.94,1,13,1,12,5.9
14,8.15,6.78,0,25,1,1,5.0
33,8.36,6.01,1,36,0,23,5.0
12,10.0,7.38,0,16,0,7,5.13
27,10.0,7.58,1,38,1,23,5.87
5,6.68,6.57,0,26,0,23,5.0
11,9.45,8.38,1,8,0,2,6.32
26,7.96,9.37,1,21,1,4,6.29
32,8.1,7.46,0,26,1,1,5.55
26,5.47,6.31,1,0,0,14,5.0
23,7.3,6.82,0,25,0,7,5.0
21,6.52,6.99,1,29,0,26,5.0
10,8.49,6.58,1,23,0,2,5.0
17,8.79,7.66,1,19,1,11,5.3
20,5.01,6.88,0,18,0,45,5.0
35,7.47,7.36,1,18,0,10,5.61
28,8.85,8.03,0,10,0,1,6.01
7,7.28,7.54,1,14,1,8,5.0
28,8.37,6.01,0,16,0,1,5.0
21,7.92,7.95,1,20,0,1,6.2
18,7.91,6.57,1,15,1,4,5.0
31,7.17,5.9,1,13,0,3,5.21
35,6.04,5.55,1,26,0,15,5.0
34,6.15,7.2,1,22,0,4,5.19
16,8.35,7.17,1,15,0,13,5.45
21,7.52,5.76,1,24,0,1,5.0
28,7.33,7.6,1,16,0,1,5.26
34,6.99,5.6,1,20,0,1,5.0
20,7.13,7.19,1,27,0,2,5.0
23,8.76,7.78,1,15,0,4,5.39
13,7.1,7.96,0,10,0,9,5.0
13,5.89,8.54,0,18,0,42,5.0
33,8.39,6.02,1,9,0,4,5.24
38,7.25,7.02,0,17,1,1,5.22
24,7.54,6.87,0,17,0,2,5.0
35,9.43,8.18,1,0,0,22,6.44
28,7.48,7.37,1,24,1,12,5.0
18,7.85,6.88,0,18,0,15,5.0
28,6.09,6.26,0,29,1,1,5.0
40,7.24,5.9,0,21,1,1,5.0
24,8.23,8.41,0,25,1,1,5.0
40,5.63,7.07,1,29,1,19,5.24
0,7.74,8.19,1,18,0,2,5.09
33,7.62,6.86,1,19,1,10,5.0
25,7.55,6.48,1,7,0,7,5.0
22,8.74,6.39,1,29,0,7,5.77
25,7.9,7.65,1,18,1,2,5.36
5,9.27,6.59,1,11,0,10,5.0
22,6.31,8.73,1,25,1,1,5.0
28,7.66,5.83,1,2,0,50,5.0
39,7.6,7.47,1,16,0,1,6.31
19,6.22,8.41,1,27,0,1,5.04
16,8.65,8.12,1,16,1,3,5.36
19,10.0,8.08,0,14,0,17,5.71
34,7.48,6.13,0,16,0,2,5.91
28,8.11,5.93,1,3,0,6,5.05
19,7.6,7.99,1,25,1,1,5.0
30,6.64,8.47,0,19,0,1,5.11
25,5.32,6.03,1,17,1,9,5.0
34,6.65,5.7,0,17,0,2,5.0
17,5.83,5.25,1,20,0,11,5.0
21,9.54,6.73,0,25,0,15,5.0
21,7.36,6.99,0,19,1,18,5.0
10,7.08,8.7,0,9,0,1,5.0
27,8.57,8.18,1,24,0,6,5.75
27,6.15,7.07,0,23,1,29,5.0
25,6.58,6.45,0,21,0,14,5.0
22,7.58,6.56,0,28,1,1,5.0
10,8.73,9.0,1,20,0,6,5.98
20,8.1,7.54,0,28,0,25,5.0
21,7.8,5.84,1,31,0,5,5.0
16,7.59,6.47,1,24,0,18,5.0
23,7.98,6.39,1,14,1,6,5.0
29,7.74,6.65,1,18,1,1,5.35
43,6.26,7.37,0,29,0,1,5.52
26,7.56,7.05,0,8,1,1,5.0
27,6.21,6.68,1,16,0,2,5.0
24,7.6,8.56,0,17,0,22,5.42
5,6.92,6.25,0,13,1,10,5.0
24,10.0,9.86,1,26,1,13,5.95
25,7.45,6.43,1,23,0,9,5.02
49,5.81,6.74,1,14,1,4,5.0
23,7.34,6.81,1,24,0,2,5.17
28,8.12,7.47,1,18,1,25,5.69
24,9.51,8.22,1,12,1,7,5.62
13,6.79,7.39,1,14,0,6,5.17
36,5.6,5.79,0,23,0,50,5.0
32,8.48,6.27,0,27,1,4,5.38
32,5.84,8.75,1,16,1,19,5.89
15,6.98,6.48,1,24,0,19,5.0
39,7.19,7.79,1,32,0,2,5.5
10,7.42,5.72,1,9,1,1,5.0
30,8.33,7.1,1,22,0,37,5.02
46,6.68,6.77,1,26,0,5,6.39
15,7.17,7.55,1,19,0,1,5.0
19,7.48,5.74,1,29,0,6,5.0
25,7.68,7.38,1,37,1,9,5.0
19,7.62,5.98,0,22,1,14,5.0
9,8.02,7.65,1,18,0,28,5.62
25,8.51,6.37,1,27,1,24,5.0
14,7.97,6.39,1,26,1,28,5.0
29,8.04,7.03,0,0,0,1,5.0
15,5.6,5.48,0,19,0,12,5.0
40,7.56,6.67,1,16,1,2,5.46
17,8.08,6.07,0,23,0,2,5.04
21,8.37,6.01,1,18,0,16,5.0
33,6.67,7.97,0,19,0,5,6.15
12,6.71,5.55,1,13,1,24,5.0
27,6.81,6.76,1,25,0,1,5.0
38,8.14,8.13,0,33,1,16,5.67
8,8.74,6.88,1,13,0,1,5.0
26,7.01,6.14,0,8,1,1,5.0
27,8.59,7.71,1,20,0,6,5.37
32,7.65,8.37,0,19,0,5,5.7
12,7.35,5.88,1,29,0,6,5.0
11,7.25,6.92,1,10,0,28,5.0
30,8.4,6.02,0,15,1,10,5.14
27,7.89,6.85,0,2,1,3,5.0
27,10.0,7.94,0,30,0,1,5.46
28,6.48,5.95,0,22,1,5,5.0
18,8.12,6.86,0,16,0,6,5.0
27,6.86,5.56,1,9,0,9,5.0
27,6.46,6.92,1,10,0,3,5.0
17,7.49,8.25,1,23,0,14,5.47
43,7.66,6.05,1,11,1,1,5.81
29,10.0,7.25,0,20,0,8,5.64
13,7.28,7.61,1,36,0,9,5.0
31,6.14,8.02,0,17,0,2,5.3
15,7.83,5.85,1,12,0,17,5.14
32,5.01,6.23,0,23,0,9,5.0
36,7.39,7.41,1,10,0,10,5.84
16,7.52,7.05,1,33,0,6,5.0
34,8.45,6.04,0,31,1,24,5.0
29,8.67,8.03,1,18,0,11,5.93
33,6.9,8.56,1,12,0,4,6.04
43,7.32,7.22,1,16,0,2,5.89
22,6.58,5.79,1,17,1,1,5.1
17,6.15,6.21,1,23,0,1,5.0
16,7.87,9.12,0,28,1,49,5.08
16,5.97,7.65,1,11,1,5,5.0
24,7.0,7.67,1,28,1,22,5.09
28,6.31,7.17,1,24,0,1,5.0
27,8.16,6.65,0,15,0,5,5.04
33,9.66,7.59,0,11,0,32,5.82
25,5.94,6.6,1,20,1,1,5.0
39,5.28,7.06,1,11,1,9,5.0
22,7.35,8.69,1,28,1,25,5.41
52,7.52,8.33,0,11,1,29,5.91
31,7.76,5.83,0,24,0,18,5.0
16,6.96,7.22,0,19,0,19,5.0
14,7.26,7.85,1,15,0,10,5.0
29,7.94,7.93,1,19,0,2,6.25
22,8.75,6.86,1,28,1,13,5.0
32,5.15,8.55,1,10,1,38,5.27
29,7.06,5.68,1,16,0,7,5.0
24,7.76,6.09,1,13,1,3,5.0
16,6.4,7.06,0,19,1,8,5.0
9,9.58,9.87,1,14,0,11,5.25
20,6.74,6.04,0,5,0,2,5.0
33,7.45,6.86,1,11,1,12,5.74
27,8.17,8.48,0,33,0,8,5.15
12,6.79,6.92,0,21,0,9,5.0
26,5.28,6.13,0,21,0,3,5.0
28,6.99,7.59,0,17,1,1,5.0
16,8.74,7.81,0,19,0,9,5.19
26,7.1,8.11,1,16,1,8,5.59
25,6.48,8.2,1,24,1,4,5.29
13,8.61,7.81,0,20,1,3,5.3
28,7.1,7.34,0,10,0,4,5.44
30,6.89,7.19,0,22,1,6,5.0
35,7.68,7.72,1,0,0,36,5.08
35,8.42,7.49,1,23,0,14,6.14
11,10.0,7.9,0,8,1,19,5.02
15,8.49,8.7,0,19,0,7,5.16
30,8.89,9.16,1,10,1,7,5.76
30,6.89,5.57,1,20,0,2,5.0
30,6.27,6.79,1,24,0,12,5.0
60,7.57,6.45,1,32,1,5,5.34
30,7.63,6.86,1,7,1,13,5.0
36,6.21,7.18,1,27,0,5,5.18
34,7.29,7.79,0,21,1,1,5.0
31,7.98,7.18,1,16,1,1,5.11
21,7.93,5.88,1,26,0,16,5.0
32,8.11,6.32,0,18,1,2,5.72
17,7.85,8.2,0,25,0,3,5.5
22,6.89,5.57,0,12,0,26,5.0
20,6.88,8.21,1,14,0,10,5.0
25,6.06,7.27,0,27,0,1,5.0
48,9.64,9.17,1,31,0,1,6.95
